#file-version:0.1
#Dict{String,Any}(Pair{String,Any}("estimation-args", Dict{String,Any}(Pair{String,Any}("num-per-dim", 0x0000000000000032),Pair{String,Any}("bounds", [-1.0 1.0; -1.0 1.0]))),Pair{String,Any}("model-params", Dict{String,Any}(Pair{String,Any}("sd-boundary", 0.5))),Pair{String,Any}("model", "simple-test"),Pair{String,Any}("dimension", 2))
[0.387755, -0.877551]; 0
[0.428571, -0.877551]; 0
[0.469388, -0.877551]; 0
[0.510204, -0.877551]; 0
[0.55102, -0.877551]; 0
[0.591837, -0.877551]; 0
[0.632653, -0.877551]; 0
[0.673469, -0.877551]; 0
[0.714286, -0.877551]; 0
[0.755102, -0.877551]; 0
[0.795918, -0.877551]; 0
[0.836735, -0.877551]; 0
[0.877551, -0.877551]; 0
[0.918367, -0.877551]; 0
[0.959184, -0.877551]; 0
[1.0, -0.877551]; 0
[-1.0, -0.836735]; 0
[-0.959184, -0.836735]; 0
[-0.918367, -0.836735]; 0
[-0.877551, -0.836735]; 0
[-0.836735, -0.836735]; 0
[-0.795918, -0.836735]; 0
[-0.755102, -0.836735]; 0
[-0.714286, -0.836735]; 0
[-0.673469, -0.836735]; 0
[-0.632653, -0.836735]; 0
[-0.591837, -0.836735]; 0
[-0.55102, -0.836735]; 0
[-0.510204, -0.836735]; 0
[-0.469388, -0.836735]; 0
[-0.428571, -0.836735]; 0
[-0.387755, -0.836735]; 0
[-0.346939, -0.836735]; 0
[-0.306122, -0.836735]; 0
[-0.265306, -0.836735]; 0
[-0.22449, -0.836735]; 0
[-0.183673, -0.836735]; 0
[-0.142857, -0.836735]; 0
[-0.102041, -0.836735]; 0
[-0.0612245, -0.836735]; 0
[-0.0204082, -0.836735]; 0
[0.0204082, -0.836735]; 0
[0.0612245, -0.836735]; 0
[0.102041, -0.836735]; 0
[0.142857, -0.836735]; 0
[0.183673, -0.836735]; 0
[0.22449, -0.836735]; 0
[0.265306, -0.836735]; 0
[0.306122, -0.836735]; 0
[0.346939, -0.836735]; 0
[0.387755, -0.836735]; 0
[0.428571, -0.836735]; 0
[0.469388, -0.836735]; 0
[0.510204, -0.836735]; 0
[0.55102, -0.836735]; 0
[0.591837, -0.836735]; 0
[0.632653, -0.836735]; 0
[0.673469, -0.836735]; 0
[0.714286, -0.836735]; 0
[0.755102, -0.836735]; 0
[0.795918, -0.836735]; 0
[0.836735, -0.836735]; 0
[0.877551, -0.836735]; 0
[0.918367, -0.836735]; 0
[0.959184, -0.836735]; 0
[1.0, -0.836735]; 0
[-1.0, -0.795918]; 0
[-0.959184, -0.795918]; 0
[-0.918367, -0.795918]; 0
[-0.877551, -0.795918]; 0
[-0.836735, -0.795918]; 0
[-0.795918, -0.795918]; 0
[-0.755102, -0.795918]; 0
[-0.714286, -0.795918]; 0
[-0.673469, -0.795918]; 0
[-0.632653, -0.795918]; 0
[-0.591837, -0.795918]; 0
[-0.55102, -0.795918]; 0
[-0.510204, -0.795918]; 0
[-0.469388, -0.795918]; 0
[-0.428571, -0.795918]; 0
[-0.387755, -0.795918]; 0
[-0.346939, -0.795918]; 0
[-0.306122, -0.795918]; 0
[-0.265306, -0.795918]; 0
[-0.22449, -0.795918]; 0
[-0.183673, -0.795918]; 0
[-0.142857, -0.795918]; 0
[-0.102041, -0.795918]; 0
[-0.0612245, -0.795918]; 0
[-0.0204082, -0.795918]; 0
[0.0204082, -0.795918]; 0
[0.0612245, -0.795918]; 0
[0.102041, -0.795918]; 0
[0.142857, -0.795918]; 0
[0.183673, -0.795918]; 0
[0.22449, -0.795918]; 0
[0.265306, -0.795918]; 0
[0.306122, -0.795918]; 0
[0.346939, -0.795918]; 0
[0.387755, -0.795918]; 0
[0.428571, -0.795918]; 0
[0.469388, -0.795918]; 0
[0.510204, -0.795918]; 0
[0.55102, -0.795918]; 0
[0.591837, -0.795918]; 0
[0.632653, -0.795918]; 0
[0.673469, -0.795918]; 0
[0.714286, -0.795918]; 0
[0.755102, -0.795918]; 0
[0.795918, -0.795918]; 0
[0.836735, -0.795918]; 0
[0.877551, -0.795918]; 0
[0.918367, -0.795918]; 0
[0.959184, -0.795918]; 0
[1.0, -0.795918]; 0
[-1.0, -0.755102]; 0
[-0.959184, -0.755102]; 0
[-0.918367, -0.755102]; 0
[-0.877551, -0.755102]; 0
[-0.836735, -0.755102]; 0
[-0.795918, -0.755102]; 0
[-0.755102, -0.755102]; 0
[-0.714286, -0.755102]; 0
[-0.673469, -0.755102]; 0
[-0.632653, -0.755102]; 0
[-0.591837, -0.755102]; 0
[-0.55102, -0.755102]; 0
[-0.510204, -0.755102]; 0
[-0.469388, -0.755102]; 0
[-0.428571, -0.755102]; 0
[-0.387755, -0.755102]; 0
[-0.346939, -0.755102]; 0
[-0.306122, -0.755102]; 0
[-0.265306, -0.755102]; 0
[-0.22449, -0.755102]; 0
[-0.183673, -0.755102]; 0
[-0.142857, -0.755102]; 0
[-0.102041, -0.755102]; 0
[-0.0612245, -0.755102]; 0
[-0.0204082, -0.755102]; 0
[0.0204082, -0.755102]; 0
[0.0612245, -0.755102]; 0
[0.102041, -0.755102]; 0
[0.142857, -0.755102]; 0
[0.183673, -0.755102]; 0
[0.22449, -0.755102]; 0
[0.265306, -0.755102]; 0
[0.306122, -0.755102]; 0
[0.346939, -0.755102]; 0
[0.387755, -0.755102]; 0
[0.428571, -0.755102]; 0
[0.469388, -0.755102]; 0
[0.510204, -0.755102]; 0
[0.55102, -0.755102]; 0
[0.591837, -0.755102]; 0
[0.632653, -0.755102]; 0
[0.673469, -0.755102]; 0
[0.714286, -0.755102]; 0
[0.755102, -0.755102]; 0
[0.795918, -0.755102]; 0
[0.836735, -0.755102]; 0
